freq_hz, C, log10_freq, log10_C
123.2102, 1.040881346569e-03, 2.09064681, -2.98259877
125.5175, 1.060504850062e-03, 2.09870413, -2.97448734
127.8679, 1.079810633019e-03, 2.10676144, -2.96665240
130.2623, 1.098784794244e-03, 2.11481876, -2.95908736
132.7016, 1.117414692629e-03, 2.12287607, -2.95178562
135.1865, 1.135688932481e-03, 2.13093338, -2.94474061
137.7180, 1.153597342878e-03, 2.13899070, -2.93794575
140.2969, 1.171130951780e-03, 2.14704801, -2.93139454
142.9241, 1.188281955588e-03, 2.15510533, -2.92508050
145.6004, 1.205043684817e-03, 2.16316264, -2.91899721
148.3269, 1.221410566513e-03, 2.17121996, -2.91313833
151.1045, 1.237378084013e-03, 2.17927727, -2.90749758
153.9340, 1.252942734578e-03, 2.18733459, -2.90206878
156.8166, 1.268101985413e-03, 2.19539190, -2.89684582
159.7531, 1.282854228518e-03, 2.20344921, -2.89182269
162.7446, 1.297198734790e-03, 2.21150653, -2.88699348
165.7921, 1.311135607727e-03, 2.21956384, -2.88235239
168.8967, 1.324665737060e-03, 2.22762116, -2.87789370
172.0594, 1.337790752601e-03, 2.23567847, -2.87361181
175.2814, 1.350512978533e-03, 2.24373579, -2.86950124
178.5637, 1.362835388359e-03, 2.25179310, -2.86555660
181.9074, 1.374761560681e-03, 2.25985042, -2.86177262
185.3138, 1.386295635954e-03, 2.26790773, -2.85814414
188.7839, 1.397442274329e-03, 2.27596504, -2.85466612
192.3191, 1.408206614678e-03, 2.28402236, -2.85133362
195.9204, 1.418594234875e-03, 2.29207967, -2.84814181
199.5892, 1.428611113390e-03, 2.30013699, -2.84508598
203.3266, 1.438263592229e-03, 2.30819430, -2.84216151
207.1341, 1.447558341236e-03, 2.31625162, -2.83936392
211.0129, 1.456502323792e-03, 2.32430893, -2.83668882
214.9643, 1.465102763892e-03, 2.33236625, -2.83413191
218.9896, 1.473367114602e-03, 2.34042356, -2.83168903
223.0904, 1.481303027891e-03, 2.34848087, -2.82935609
227.2679, 1.488918325810e-03, 2.35653819, -2.82712912
231.5237, 1.496220973012e-03, 2.36459550, -2.82500426
235.8592, 1.503219050578e-03, 2.37265282, -2.82297773
240.2759, 1.509920731125e-03, 2.38071013, -2.82104585
244.7752, 1.516334255184e-03, 2.38876745, -2.81920505
249.3588, 1.522467908804e-03, 2.39682476, -2.81745185
254.0283, 1.528330002364e-03, 2.40488208, -2.81578286
258.7852, 1.533928850566e-03, 2.41293939, -2.81419478
263.6311, 1.539272753584e-03, 2.42099670, -2.81268442
268.5678, 1.544369979339e-03, 2.42905402, -2.81124865
273.5970, 1.549228746878e-03, 2.43711133, -2.80988445
278.7203, 1.553857210829e-03, 2.44516865, -2.80858889
283.9396, 1.558263446917e-03, 2.45322596, -2.80735912
289.2566, 1.562455438508e-03, 2.46128328, -2.80619236
294.6732, 1.566441064154e-03, 2.46934059, -2.80508594
300.1912, 1.570228086131e-03, 2.47739791, -2.80403726
305.8125, 1.573824139938e-03, 2.48545522, -2.80304380
311.5391, 1.577236724725e-03, 2.49351254, -2.80210312
317.3729, 1.580473194639e-03, 2.50156985, -2.80121287
323.3160, 1.583540751064e-03, 2.50962716, -2.80037076
329.3703, 1.586446435715e-03, 2.51768448, -2.79957459
335.5381, 1.589197124579e-03, 2.52574179, -2.79882223
341.8213, 1.591799522657e-03, 2.53379911, -2.79811163
348.2222, 1.594260159502e-03, 2.54185642, -2.79744081
354.7429, 1.596585385501e-03, 2.54991374, -2.79680785
361.3858, 1.598781368886e-03, 2.55797105, -2.79621092
368.1530, 1.600854093443e-03, 2.56602837, -2.79564825
375.0470, 1.602809356877e-03, 2.57408568, -2.79511813
382.0700, 1.604652769817e-03, 2.58214299, -2.79461893
389.2246, 1.606389755406e-03, 2.59020031, -2.79414907
396.5132, 1.608025549470e-03, 2.59825762, -2.79370706
403.9382, 1.609565201203e-03, 2.60631494, -2.79329143
411.5023, 1.611013574359e-03, 2.61437225, -2.79290080
419.2080, 1.612375348893e-03, 2.62242957, -2.79253385
427.0580, 1.613655023038e-03, 2.63048688, -2.79218931
435.0550, 1.614856915767e-03, 2.63854420, -2.79186595
443.2018, 1.615985169609e-03, 2.64660151, -2.79156263
451.5011, 1.617043753798e-03, 2.65465882, -2.79127823
459.9558, 1.618036467700e-03, 2.66271614, -2.79101169
468.5689, 1.618966944502e-03, 2.67077345, -2.79076202
477.3432, 1.619838655127e-03, 2.67883077, -2.79052824
486.2819, 1.620654912339e-03, 2.68688808, -2.79030945
495.3879, 1.621418875019e-03, 2.69494540, -2.79010478
